[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:57,4478,0,96,18,4364,0,motor_driver_node-11,1729,logistics_module_node-19,1140,sysbot_monitor_hw_node-27,631
2026-01-27 08:58,5522,0,116,57,5349,0,sysbot_monitor_hw_node-27,2380,motor_driver_node-11,778,sysbot_monitor_node-28,569

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,sysbot_monitor_hw_node-27,3011,30.11,0,0,72,2939,0
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1873629 [communication_node-22] [08:57:45.186] [communicatoin_main.cpp(95)]main() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1875484 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(96)]main() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1876111 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(97)]main() Sybot Communication Start!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1876633 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(98)]main() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1877091 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(99)]main() ###################################################
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1948454 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(68)]DriveModule() ###################################################
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1949668 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(69)]DriveModule() Brake DB read success!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1950142 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(70)]DriveModule() ###################################################
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1955285 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(79)]DriveModule() ###################################################
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1956251 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(80)]DriveModule() Brake DB has nothing to update!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1956592 [drive_module_node-18] [08:57:45.195] [drive_module.cpp(81)]DriveModule() ###################################################
2026-01-27 08:57:45,ERROR,tsd_node-25,1769471865.3546553 [tsd_node-25] [08:57:45.350] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:45,WARN,io_manager_node-9,1769471865.3859820 [io_manager_node-9] [08:57:45.382] [io_manager_controller.cpp(414)]change_io_callback() Ignore IO change event until complete io booting
2026-01-27 08:57:45,ERROR,tsd_node-25,1769471865.8498421 [tsd_node-25] [08:57:45.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:45,WARN,sysbot_monitor_hw_node-27,1769471865.9475701 [sysbot_monitor_hw_node-27] [08:57:45.947] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:46,ERROR,motor_driver_node-11,1769471866.1418691 [motor_driver_node-11] [08:57:46.141] [etc_util.cpp(184)]make_log_file_name() log file name: /home/syswin/logs/motor_torque//2026-01-27/torque_08-57-46.csv
2026-01-27 08:57:46,ERROR,logistics_module_node-19,1769471866.2893255 [logistics_module_node-19] [08:57:46.288] [etc_util.cpp(184)]make_log_file_name() log file name: /home/syswin/logs/components_motors_torque//2026-01-27/torque_08-57-46.csv
2026-01-27 08:57:46,ERROR,tsd_node-25,1769471866.3500245 [tsd_node-25] [08:57:46.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:46,ERROR,tsd_node-25,1769471866.8499134 [tsd_node-25] [08:57:46.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:46,WARN,sysbot_monitor_hw_node-27,1769471866.9039049 [sysbot_monitor_hw_node-27] [08:57:46.903] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:47,ERROR,tsd_node-25,1769471867.3499215 [tsd_node-25] [08:57:47.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:47,ERROR,tsd_node-25,1769471867.8499908 [tsd_node-25] [08:57:47.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:47,WARN,sysbot_monitor_hw_node-27,1769471867.9017780 [sysbot_monitor_hw_node-27] [08:57:47.901] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:48,ERROR,tsd_node-25,1769471868.3500087 [tsd_node-25] [08:57:48.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
