[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-31 03:00,1217438,0,8368,3600,1205470,0,motor_driver_node-11,538223,drive_pid_path_node-16,376941,sysbot_monitor_hw_node-27,151200
2026-01-31 04:00,1443248,0,8782,3600,1430866,0,motor_driver_node-11,664714,drive_pid_path_node-16,466076,sysbot_monitor_hw_node-27,151200
2026-01-31 05:00,1300982,0,8591,3600,1288791,0,motor_driver_node-11,582335,drive_pid_path_node-16,407048,sysbot_monitor_hw_node-27,151200
2026-01-31 06:00,1315366,0,8542,3600,1303224,0,motor_driver_node-11,600484,drive_pid_path_node-16,405262,sysbot_monitor_hw_node-27,151200
2026-01-31 07:00,1094736,0,8155,3600,1082981,0,motor_driver_node-11,442213,drive_pid_path_node-16,361163,sysbot_monitor_hw_node-27,151200
2026-01-31 08:00,597492,0,7219,3600,586673,0,drive_pid_path_node-16,359387,sysbot_monitor_hw_node-27,151200,sysbot_monitor_node-28,36000
2026-01-31 09:00,819959,0,7734,3600,808625,0,drive_pid_path_node-16,318067,motor_driver_node-11,230403,sysbot_monitor_hw_node-27,151200
2026-01-31 10:00,159523,0,975,412,158136,0,motor_driver_node-11,73428,drive_pid_path_node-16,50072,sysbot_monitor_hw_node-27,17304

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,motor_driver_node-11,32498142,39.88,0,21,0,32498121,0
2,drive_pid_path_node-16,21224847,26.04,0,90733,0,21134114,0
3,sysbot_monitor_hw_node-27,14689447,18.02,0,0,349749,14339698,0
4,communication_node-22,5308475,6.51,0,7183,0,5301292,0
5,sysbot_monitor_node-28,3497499,4.29,0,0,0,3497499,0
6,agv_main_module_node-10,1476108,1.81,0,5,0,1476103,0
7,tsd_node-25,1398998,1.72,0,699499,0,699499,0
8,bms_id_node-17,699500,0.86,0,0,0,699500,0
9,charger_module_node-20,323046,0.40,0,5,0,323041,0
10,drive_module_node-18,304530,0.37,0,561,0,303969,0
11,touch_monitor_ui-24,30706,0.04,0,0,0,30706,0
12,logistics_module_node-19,23354,0.03,0,11,0,23343,0
13,peripheral_module_node-21,19403,0.02,0,5,0,19398,0
14,io_manager_node-9,3377,0.00,0,1,3,3373,0
15,canopen_device-1,18,0.00,0,5,0,13,0
16,launch_ros.actions.load_composable_nodes,11,0.00,0,0,0,11,0
17,imu_wit_node-12,8,0.00,0,0,0,8,0
18,sybot_joystick-23,8,0.00,0,1,0,7,0
19,bt_navigator-8,6,0.00,0,0,0,6,0
20,laserscan_multi_merger-2,3,0.00,0,0,0,3,0
21,launch,2,0.00,0,0,0,2,0
22,component_container_isolated-7,1,0.00,0,0,0,1,0
23,lakibeam1_scan_node-3,1,0.00,0,0,0,1,0
24,lakibeam1_scan_node-5,1,0.00,0,0,0,1,0
25,robot_pose_publisher-14,1,0.00,0,0,0,1,0
26,robot_state_publisher-15,1,0.00,0,0,0,1,0
27,static_transform_publisher-13,1,0.00,0,0,0,1,0
28,static_transform_publisher-4,1,0.00,0,0,0,1,0
29,static_transform_publisher-6,1,0.00,0,0,0,1,0
30,vision_docker-26,1,0.00,0,0,0,1,0

[에러 목록]
timestamp,level,node,message
2026-01-27 08:57:44,ERROR,tsd_node-25,1769471864.8573287 [tsd_node-25] [ERROR] [1769471864.846347905] [tsd]: Unable to open port
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8965118 [canopen_device-1] [08:57:44.895] [main.cpp(34)]main() ###################################################
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8967025 [canopen_device-1] [08:57:44.895] [main.cpp(35)]main() ###################################################
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8968189 [canopen_device-1] [08:57:44.895] [main.cpp(36)]main() CAN Device!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8968542 [canopen_device-1] [08:57:44.895] [main.cpp(37)]main() ###################################################
2026-01-27 08:57:44,ERROR,canopen_device-1,1769471864.8968794 [canopen_device-1] [08:57:44.895] [main.cpp(38)]main() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9263501 [motor_driver_node-11] [08:57:44.925] [motor_control_main.cpp(37)]start() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9265275 [motor_driver_node-11] [08:57:44.925] [motor_control_main.cpp(38)]start() Motor Control Restarted!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9265993 [motor_driver_node-11] [08:57:44.925] [motor_control_main.cpp(39)]start() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9411459 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(24)]initialize() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9413707 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(25)]initialize() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9414320 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(26)]initialize() MOTOR API START!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9414740 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(27)]initialize() ###################################################
2026-01-27 08:57:44,ERROR,motor_driver_node-11,1769471864.9415123 [motor_driver_node-11] [08:57:44.940] [motor_api.cpp(28)]initialize() ###################################################
2026-01-27 08:57:44,ERROR,io_manager_node-9,1769471864.9427943 [io_manager_node-9] [08:57:44.940] [io_manager_main.cpp(49)]main() ################io manager start###########################
2026-01-27 08:57:44,ERROR,sybot_joystick-23,1769471864.9812489 [sybot_joystick-23] [ERROR] [1769471864.980335129] [sybot_joystick_node]: Couldn't open joystick /dev/js-joy0. Will retry every second.
2026-01-27 08:57:44,ERROR,charger_module_node-20,1769471864.9837632 [charger_module_node-20] [08:57:44.983] [charger_main.cpp(54)]main() ###################################################
2026-01-27 08:57:44,ERROR,charger_module_node-20,1769471864.9838848 [charger_module_node-20] [08:57:44.983] [charger_main.cpp(55)]main() ###################################################
2026-01-27 08:57:44,ERROR,charger_module_node-20,1769471864.9843779 [charger_module_node-20] [08:57:44.983] [charger_main.cpp(56)]main() charger module!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,charger_module_node-20,1769471864.9844558 [charger_module_node-20] [08:57:44.983] [charger_main.cpp(57)]main() ###################################################
2026-01-27 08:57:44,ERROR,charger_module_node-20,1769471864.9844885 [charger_module_node-20] [08:57:44.983] [charger_main.cpp(58)]main() ###################################################
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9848988 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(63)]main() ###################################################
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9849739 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(64)]main() ###################################################
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9850013 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(65)]main() peripheral module!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9850211 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(66)]main() ###################################################
2026-01-27 08:57:44,ERROR,peripheral_module_node-21,1769471864.9850466 [peripheral_module_node-21] [08:57:44.983] [peripheral_main.cpp(67)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9888272 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(54)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9889684 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(55)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9890194 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(56)]main() logistics module!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9890661 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(57)]main() ###################################################
2026-01-27 08:57:44,ERROR,logistics_module_node-19,1769471864.9891090 [logistics_module_node-19] [08:57:44.988] [logistics_main.cpp(58)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9991331 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(68)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992142 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(69)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992476 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(70)]main() drive module!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992743 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(71)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992983 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(72)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1151447 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(65)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1153884 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(66)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1154737 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(67)]main() agv main module !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1155539 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(68)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1155810 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(69)]main() ###################################################
2026-01-27 08:57:45,WARN,io_manager_node-9,1769471865.1370757 [io_manager_node-9] [08:57:45.134] [io_manager_controller.cpp(414)]change_io_callback() Ignore IO change event until complete io booting
2026-01-27 08:57:45,WARN,io_manager_node-9,1769471865.1516273 [io_manager_node-9] [08:57:45.150] [io_manager_controller.cpp(414)]change_io_callback() Ignore IO change event until complete io booting
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1815436 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(24)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1816525 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(25)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1817017 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(26)]initialize() MOTOR API START!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1817682 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(27)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1818123 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(28)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1873629 [communication_node-22] [08:57:45.186] [communicatoin_main.cpp(95)]main() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1875484 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(96)]main() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1876111 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(97)]main() Sybot Communication Start!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1876633 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(98)]main() ###################################################
2026-01-27 08:57:45,ERROR,communication_node-22,1769471865.1877091 [communication_node-22] [08:57:45.187] [communicatoin_main.cpp(99)]main() ###################################################
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1948454 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(68)]DriveModule() ###################################################
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1949668 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(69)]DriveModule() Brake DB read success!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,drive_module_node-18,1769471865.1950142 [drive_module_node-18] [08:57:45.194] [drive_module.cpp(70)]DriveModule() ###################################################
